domain,term,coef,se,t,p,r2,n
EPQR-A::Psychoticism,Intercept,0.13029802061440532,0.03166023665182419,4.115510002256974,5.100784585773233e-05,0.7577810657519775,288
EPQR-A::Psychoticism,EI,0.34373699595070106,0.03166023665182419,10.857057062802962,4.1013326018766804e-23,0.7577810657519775,288
EPQR-A::Psychoticism,SN,0.2785684272495304,0.03166023665182419,8.798684302742883,1.5168921427383704e-16,0.7577810657519775,288
EPQR-A::Psychoticism,TF,-0.13633623024305225,0.03166023665182419,-4.306229032409865,2.307387649964273e-05,0.7577810657519775,288
EPQR-A::Psychoticism,JP,-0.7349048753094675,0.03166023665182419,-23.212235694616133,6.282211578565868e-67,0.7577810657519775,288
EPQR-A::Psychoticism,EI_SN,-0.02960429632419777,0.03166023665182419,-0.9350623828167764,0.35057058307015654,0.7577810657519775,288
EPQR-A::Psychoticism,EI_TF,-0.05334107445801366,0.03166023665182419,-1.684797086156343,0.09315400405548527,0.7577810657519775,288
EPQR-A::Psychoticism,EI_JP,-0.32002155424666845,0.03166023665182419,-10.10799627829786,1.1902257813858673e-20,0.7577810657519775,288
EPQR-A::Psychoticism,SN_TF,-0.05927971408100566,0.03166023665182419,-1.87237116174841,0.06220872517157386,0.7577810657519775,288
EPQR-A::Psychoticism,SN_JP,0.0178194749406073,0.03166023665182419,0.5628345465819687,0.574002801990991,0.7577810657519775,288
EPQR-A::Psychoticism,TF_JP,0.06521124156073713,0.03166023665182419,2.0597205977290063,0.0403595387210366,0.7577810657519775,288
EPQR-A::Extraversion,Intercept,0.03850978173424185,0.02515473669192711,1.5309157160289721,0.1269314332956365,0.8545237380454765,288
EPQR-A::Extraversion,EI,1.0122839486856463,0.02515473669192711,40.24227965822905,1.0073425207946636e-117,0.8545237380454765,288
EPQR-A::Extraversion,SN,-0.01366480934084957,0.02515473669192711,-0.5432300686826512,0.5874082777625448,0.8545237380454765,288
EPQR-A::Extraversion,TF,0.048445385908118754,0.02515473669192711,1.925895170417995,0.05514083876308669,0.8545237380454765,288
EPQR-A::Extraversion,JP,-0.031052861889971462,0.02515473669192711,-1.234473740285154,0.21807264180254288,0.8545237380454765,288
EPQR-A::Extraversion,EI_SN,0.0260850598030327,0.02515473669192711,1.0369840130906303,0.30064769229336463,0.8545237380454765,288
EPQR-A::Extraversion,EI_TF,-0.00620937998625461,0.02515473669192711,-0.24684734578229084,0.805209210856991,0.8545237380454765,288
EPQR-A::Extraversion,EI_JP,-0.011183144031892935,0.02515473669192711,-0.44457408435056023,0.656974733731797,0.8545237380454765,288
EPQR-A::Extraversion,SN_TF,-0.013661828361499095,0.02515473669192711,-0.5431115629957508,0.587489752747458,0.8545237380454765,288
EPQR-A::Extraversion,SN_JP,0.011177182073192644,0.02515473669192711,0.44433707297678565,0.6571458464700948,0.8545237380454765,288
EPQR-A::Extraversion,TF_JP,0.013667790320199841,0.02515473669192711,0.5433485743695435,0.5873268080358224,0.8545237380454765,288
EPQR-A::Neuroticism,Intercept,0.8289301542304295,0.03154857628512867,26.27472462588334,3.4069273314669383e-77,0.7646579776558751,288
EPQR-A::Neuroticism,EI,-0.16020970333412837,0.03154857628512867,-5.078191227591079,7.007200391763578e-07,0.7646579776558751,288
EPQR-A::Neuroticism,SN,0.19504607705034224,0.03154857628512867,6.182405040644665,2.2535190222293804e-09,0.7646579776558751,288
EPQR-A::Neuroticism,TF,0.8742049014746885,0.03154857628512867,27.70980514536785,7.799668599023682e-82,0.7646579776558751,288
EPQR-A::Neuroticism,JP,0.017414007329167404,0.03154857628512867,0.5519744273650788,0.5814109219948732,0.7646579776558751,288
EPQR-A::Neuroticism,EI_SN,-0.00695473615642198,0.03154857628512867,-0.22044532512550477,0.8256867367954188,0.7646579776558751,288
EPQR-A::Neuroticism,EI_TF,-0.17763206972117482,0.03154857628512867,-5.630430613279586,4.406989152094722e-08,0.7646579776558751,288
EPQR-A::Neuroticism,EI_JP,0.017405648271286954,0.03154857628512867,0.5517094690416063,0.5815922210929747,0.7646579776558751,288
EPQR-A::Neuroticism,SN_TF,0.17762371066329455,0.03154857628512867,5.6301656549561185,4.413067307897788e-08,0.7646579776558751,288
EPQR-A::Neuroticism,SN_JP,-0.031348556815653565,0.03154857628512867,-0.9936599525865326,0.3212556501386819,0.7646579776558751,288
EPQR-A::Neuroticism,TF_JP,0.05573819794594408,0.03154857628512867,1.7667421008857975,0.07837267276277968,0.7646579776558751,288
EPQR-A::Lie,Intercept,0.5473576077230821,0.037465614658848845,14.60959903386515,3.134885561357719e-36,0.6691102133568743,288
EPQR-A::Lie,EI,-0.19145337863209544,0.037465614658848845,-5.110109106054046,6.007147806940968e-07,0.6691102133568743,288
EPQR-A::Lie,SN,-0.22625612143272955,0.037465614658848845,-6.03903401807105,4.973265527235869e-09,0.6691102133568743,288
EPQR-A::Lie,TF,0.0947594951934708,0.037465614658848845,2.5292390384175896,0.011986144353042707,0.6691102133568743,288
EPQR-A::Lie,JP,0.7832578207607751,0.037465614658848845,20.906044859877422,6.712531505220018e-59,0.6691102133568743,288
EPQR-A::Lie,EI_SN,0.03286835455548035,0.037465614658848845,0.8772938827981384,0.381087271609965,0.6691102133568743,288
EPQR-A::Lie,EI_TF,-0.025144726385267477,0.037465614658848845,-0.671141434999216,0.502689691714826,0.6691102133568743,288
EPQR-A::Lie,EI_JP,0.20693080539506092,0.037465614658848845,5.523219284651101,7.66717176502927e-08,0.6691102133568743,288
EPQR-A::Lie,SN_TF,0.06381160407274142,0.037465614658848845,1.703204515761762,0.08965143966964406,0.6691102133568743,288
EPQR-A::Lie,SN_JP,-0.1450373439553364,0.037465614658848845,-3.8712121841855502,0.0001351380987790105,0.6691102133568743,288
EPQR-A::Lie,TF_JP,-0.0793052764478438,0.037465614658848845,-2.1167483082814718,0.035172809992997996,0.6691102133568743,288
IPIP-NEO-120::Neuroticism,Intercept,0.3630942067801758,0.0791417577380618,4.587896669946619,6.7916646079158135e-06,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,EI,-0.3361334926730213,0.0791417577380618,-4.247233095144713,2.958062677209749e-05,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,SN,0.1296632883284129,0.0791417577380618,1.6383675575865264,0.10248037874452333,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,TF,0.6378508799242474,0.0791417577380618,8.059599611564913,2.3064659976911877e-14,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,JP,-0.36311006369186943,0.0791417577380618,-4.588097030819903,6.7856123406905396e-06,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,EI_SN,-0.0586335738059445,0.0791417577380618,-0.740867722448193,0.4594012153882706,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,EI_TF,-0.17150571406007348,0.0791417577380618,-2.1670698119659138,0.031081775274441444,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,EI_JP,-0.008532339900500018,0.0791417577380618,-0.10781084656648388,0.9142237862503985,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,SN_TF,0.06964355615858035,0.0791417577380618,0.8799849554653819,0.3796302597839471,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,SN_JP,-0.17591261410160547,0.0791417577380618,-2.222753437999564,0.02703976400279822,0.30055539013225785,288
IPIP-NEO-120::Neuroticism,TF_JP,0.09112570727557426,0.0791417577380618,1.151423848547516,0.25055078260702873,0.30055539013225785,288
IPIP-NEO-120::Extraversion,Intercept,0.33305220388239126,0.020061410974243972,16.601634068011638,1.940024826357573e-43,0.9000143131668784,288
IPIP-NEO-120::Extraversion,EI,0.9550968809907799,0.020061410974243972,47.6086593419072,2.1592857850334232e-135,0.9000143131668784,288
IPIP-NEO-120::Extraversion,SN,0.0032227271498096455,0.020061410974243972,0.16064309504187785,0.872491601719753,0.9000143131668784,288
IPIP-NEO-120::Extraversion,TF,0.13214341612023206,0.020061410974243972,6.586945269696414,2.2508722630170302e-10,0.9000143131668784,288
IPIP-NEO-120::Extraversion,JP,-0.1552423669525708,0.020061410974243972,-7.738357344450006,1.8889179587788867e-13,0.9000143131668784,288
IPIP-NEO-120::Extraversion,EI_SN,0.03599340478597713,0.020061410974243972,1.7941611799981365,0.07387787858608243,0.9000143131668784,288
IPIP-NEO-120::Extraversion,EI_TF,-0.015042938720178915,0.020061410974243972,-0.7498445019391673,0.45398474520355037,0.9000143131668784,288
IPIP-NEO-120::Extraversion,EI_JP,-0.17565587297920762,0.020061410974243972,-8.755908206293418,2.0423785091676958e-16,0.9000143131668784,288
IPIP-NEO-120::Extraversion,SN_TF,0.04351148994413956,0.020061410974243972,2.1689147388487373,0.03093993393410557,0.9000143131668784,288
IPIP-NEO-120::Extraversion,SN_JP,0.112806408611483,0.020061410974243972,5.623054567612944,4.579283035656927e-08,0.9000143131668784,288
IPIP-NEO-120::Extraversion,TF_JP,0.05210607362018955,0.020061410974243972,2.597328457459269,0.009897342552825785,0.9000143131668784,288
IPIP-NEO-120::Openness,Intercept,-0.0788739050879027,0.02930673245263181,-2.691323750110519,0.007549780463174069,0.8068014162517279,288
IPIP-NEO-120::Openness,EI,-0.027178042401236446,0.02930673245263181,-0.9273651521937513,0.35454429759746753,0.8068014162517279,288
IPIP-NEO-120::Openness,SN,0.7724611965696297,0.02930673245263181,26.35780695845746,1.8225869802212514e-77,0.8068014162517279,288
IPIP-NEO-120::Openness,TF,0.4630110990407623,0.02930673245263181,15.798796395644677,1.5806640592871658e-40,0.8068014162517279,288
IPIP-NEO-120::Openness,JP,-0.4103260562893737,0.02930673245263181,-14.001085141531208,4.79440374779683e-34,0.8068014162517279,288
IPIP-NEO-120::Openness,EI_SN,0.018505110070012397,0.02930673245263181,0.6314286350387929,0.5282810075591616,0.8068014162517279,288
IPIP-NEO-120::Openness,EI_TF,0.0238383592215557,0.02930673245263181,0.8134089755685119,0.41668222973979874,0.8068014162517279,288
IPIP-NEO-120::Openness,EI_JP,-0.06452519199696312,0.02930673245263181,-2.2017190794386434,0.028509594934291938,0.8068014162517279,288
IPIP-NEO-120::Openness,SN_TF,-0.04884956907810317,0.02930673245263181,-1.6668377874284779,0.09667689852320302,0.8068014162517279,288
IPIP-NEO-120::Openness,SN_JP,0.06219149533941496,0.02930673245263181,2.1220890264697534,0.034717749240038585,0.8068014162517279,288
IPIP-NEO-120::Openness,TF_JP,0.04485043252194157,0.02930673245263181,1.5303798400054627,0.12706392005610795,0.8068014162517279,288
IPIP-NEO-120::Agreeableness,Intercept,-0.40676016827707917,0.031241223924166135,-13.019981844003127,1.4743533295731313e-30,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,EI,-0.06401559441349047,0.031241223924166135,-2.0490744718862395,0.041396813567749255,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,SN,-0.13793838929524832,0.031241223924166135,-4.415268416822439,1.4475679906302958e-05,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,TF,0.9330054825981826,0.031241223924166135,29.864562440412957,1.3653627341587486e-88,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,JP,0.06973477984688817,0.031241223924166135,2.232139816806152,0.026405379763698035,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,EI_SN,0.044221257089072444,0.031241223924166135,1.4154777417304005,0.15805178262320005,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,EI_TF,0.060936357943071076,0.031241223924166135,1.9505112248798537,0.05212359069769995,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,EI_JP,0.024858815414997404,0.031241223924166135,0.7957055547932063,0.42688453583920066,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,SN_TF,0.10229485437668862,0.031241223924166135,3.2743548916327865,0.0011936132012354557,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,SN_JP,-0.1150584796229003,0.031241223924166135,-3.68290563462524,0.00027721740875664215,0.7745497474726294,288
IPIP-NEO-120::Agreeableness,TF_JP,0.018697174535403992,0.031241223924166135,0.5984776582629691,0.5500103191664502,0.7745497474726294,288
IPIP-NEO-120::Conscientiousness,Intercept,-0.3344115638341245,0.03376672209686931,-9.903583856163804,5.425230404754223e-20,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,EI,-0.10766004915859,0.03376672209686931,-3.188347653341564,0.0015949909825178172,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,SN,-0.10230042115760428,0.03376672209686931,-3.0296225041959013,0.002679810146411072,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,TF,0.007672220927218351,0.03376672209686931,0.22721248764414959,0.8204261197478564,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,JP,0.9632225917681199,0.03376672209686931,28.52579498255252,2.0114265830942176e-84,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,EI_SN,-0.019103637285572624,0.03376672209686931,-0.5657533837832551,0.5720194380700355,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,EI_TF,-0.0355287460586605,0.03376672209686931,-1.0521822626648902,0.29363293303752624,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,EI_JP,0.10301858045802446,0.03376672209686931,3.05089076050932,0.002502860226414327,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,SN_TF,0.05766742053091199,0.03376672209686931,1.7078181401640593,0.08879047586483277,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,SN_JP,-0.008750316869853567,0.03376672209686931,-0.25914025189507084,0.7957195031181798,0.7548189284160031,288
IPIP-NEO-120::Conscientiousness,TF_JP,-0.08230765466655979,0.03376672209686931,-2.4375375978289275,0.015416979840623716,0.7548189284160031,288
SD3::Machiavellianism,Intercept,-0.1585386430007017,0.03579162383001739,-4.429490088341283,1.3612462124503702e-05,0.6599390377066165,288
SD3::Machiavellianism,EI,-0.011472679986753942,0.03579162383001739,-0.32054091877027774,0.7487999935059966,0.6599390377066165,288
SD3::Machiavellianism,SN,-0.049247037419856116,0.03579162383001739,-1.375937500174386,0.1699524215854074,0.6599390377066165,288
SD3::Machiavellianism,TF,-0.7643357323901863,0.03579162383001739,-21.355156614860267,1.7598359539522827e-60,0.6599390377066165,288
SD3::Machiavellianism,JP,0.11400186443654169,0.03579162383001739,3.185154855727212,0.0016120577452445137,0.6599390377066165,288
SD3::Machiavellianism,EI_SN,-0.04789673892861301,0.03579162383001739,-1.338210838270026,0.18192516327201172,0.6599390377066165,288
SD3::Machiavellianism,EI_TF,-0.1126588517285239,0.03579162383001739,-3.1476317549482125,0.0018257011007035587,0.6599390377066165,288
SD3::Machiavellianism,EI_JP,-0.09242137452072932,0.03579162383001739,-2.5822068023417875,0.010330796550449968,0.6599390377066165,288
SD3::Machiavellianism,SN_TF,-0.19090816357721602,0.03579162383001739,-5.333878241565193,1.999400178079036e-07,0.6599390377066165,288
SD3::Machiavellianism,SN_JP,0.15853014292027137,0.03579162383001739,4.429252600361674,1.362646296324832e-05,0.6599390377066165,288
SD3::Machiavellianism,TF_JP,0.061382723680188815,0.03579162383001739,1.7150024813545597,0.08746313100519672,0.6599390377066165,288
SD3::Narcissism,Intercept,0.3889378903263667,0.019226787414816298,20.22895879249429,1.6811087289528181e-56,0.904810491855432,288
SD3::Narcissism,EI,0.9371800611178858,0.019226787414816298,48.74345572654994,6.333215591062729e-138,0.904810491855432,288
SD3::Narcissism,SN,0.16083462373506013,0.019226787414816298,8.365132471955238,2.979194979242276e-15,0.904810491855432,288
SD3::Narcissism,TF,-0.10593642962562566,0.019226787414816298,-5.509835176311894,8.211384494634201e-08,0.904810491855432,288
SD3::Narcissism,JP,0.021652721840956773,0.019226787414816298,1.1261747151929828,0.2610662987291557,0.904810491855432,288
SD3::Narcissism,EI_SN,-0.0610860282087442,0.019226787414816298,-3.1771313059648687,0.0016556955366922135,0.904810491855432,288
SD3::Narcissism,EI_TF,-0.001548089406052642,0.019226787414816298,-0.0805173205826197,0.9358839632021853,0.904810491855432,288
SD3::Narcissism,EI_JP,-0.15078474326178465,0.019226787414816298,-7.842430459577915,9.611714828832751e-14,0.904810491855432,288
SD3::Narcissism,SN_TF,0.010825491011844268,0.019226787414816298,0.563042112979419,0.5738616515203192,0.904810491855432,288
SD3::Narcissism,SN_JP,0.1430509075371456,0.019226787414816298,7.440187715754821,1.2686603931017842e-12,0.904810491855432,288
SD3::Narcissism,TF_JP,-0.10206568416531417,0.019226787414816298,-5.3085147280851315,2.2689830159243557e-07,0.904810491855432,288
SD3::Psychopathy,Intercept,0.36122096508765056,0.04477999359754025,8.066570270958955,2.2023388326327024e-14,0.6169439367581079,288
SD3::Psychopathy,EI,0.46585008551604645,0.04477999359754025,10.403085129999559,1.3008531041044136e-21,0.6169439367581079,288
SD3::Psychopathy,SN,0.03177658378552187,0.04477999359754025,0.7096156393212916,0.47853941142208356,0.6169439367581079,288
SD3::Psychopathy,TF,-0.5450385817280625,0.04477999359754025,-12.171475204453833,1.3723340067274846e-27,0.6169439367581079,288
SD3::Psychopathy,JP,-0.45117997665668064,0.04477999359754025,-10.075481044317607,1.5164354132282974e-20,0.6169439367581079,288
SD3::Psychopathy,EI_SN,-0.012218784965514297,0.04477999359754025,-0.2728625884882992,0.7851621545641708,0.6169439367581079,288
SD3::Psychopathy,EI_TF,-0.17451208846331984,0.04477999359754025,-3.8970994509678922,0.0001221559435432722,0.6169439367581079,288
SD3::Psychopathy,EI_JP,-0.28791441439982723,0.04477999359754025,-6.42953228147943,5.583771212484469e-10,0.6169439367581079,288
SD3::Psychopathy,SN_TF,-0.014177380438491094,0.04477999359754025,-0.3166007696631259,0.7517850138203216,0.6169439367581079,288
SD3::Psychopathy,SN_JP,0.22045373447681088,0.04477999359754025,4.923040777051838,1.4656875884639279e-06,0.6169439367581079,288
SD3::Psychopathy,TF_JP,0.11682854820594732,0.04477999359754025,2.6089451743995933,0.009575496979627821,0.6169439367581079,288
ZKPQ-50-CC::Activity,Intercept,0.922974459959641,0.03059245319412012,30.170004808147812,1.577387214254302e-89,0.7792704279950182,288
ZKPQ-50-CC::Activity,EI,0.8702330622476618,0.03059245319412012,28.446004533396522,3.589395756614976e-84,0.7792704279950182,288
ZKPQ-50-CC::Activity,SN,-0.1318534942799487,0.03059245319412012,-4.310000686878258,2.2708235102115622e-05,0.7792704279950182,288
ZKPQ-50-CC::Activity,TF,-0.16822687201234815,0.03059245319412012,-5.498966393603289,8.680825790770793e-08,0.7792704279950182,288
ZKPQ-50-CC::Activity,JP,0.25370430968348734,0.03059245319412012,8.293035804407127,4.848019510584279e-15,0.7792704279950182,288
ZKPQ-50-CC::Activity,EI_SN,0.015458685536269497,0.03059245319412012,0.5053104253581292,0.6137426390873082,0.7792704279950182,288
ZKPQ-50-CC::Activity,EI_TF,0.11730414318698845,0.03059245319412012,3.834414404188231,0.00015585737098921116,0.7792704279950182,288
ZKPQ-50-CC::Activity,EI_JP,-0.14094683871304867,0.03059245319412012,-4.607242113559519,6.2306213395539914e-06,0.7792704279950182,288
ZKPQ-50-CC::Activity,SN_TF,0.04637605660880967,0.03059245319412012,1.5159312760744261,0.1306770402805159,0.7792704279950182,288
ZKPQ-50-CC::Activity,SN_JP,0.08638677211444917,0.03059245319412012,2.823793553471963,0.005090358296615433,0.7792704279950182,288
ZKPQ-50-CC::Activity,TF_JP,-0.06638141436162918,0.03059245319412012,-2.169862414773187,0.030867292312246847,0.7792704279950182,288
ZKPQ-50-CC::Aggression-Hostility,Intercept,0.3150242468736455,0.03691442248042823,8.533906958470478,9.441031277049992e-16,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,EI,0.5659757655695998,0.03691442248042823,15.332104027082538,7.735555757358567e-39,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,SN,0.07475151620730541,0.03691442248042823,2.024994871501461,0.043826939154225995,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,TF,-0.5766545535992155,0.03691442248042823,-15.62138900872562,6.9419915174322885e-40,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,JP,-0.154842426429419,0.03691442248042823,-4.194632233824473,3.6830467646596596e-05,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,EI_SN,-0.07475151620730618,0.03691442248042823,-2.024994871501482,0.04382693915422385,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,EI_TF,-0.33104242891806823,0.03691442248042823,-8.967834430935081,4.6434022926583456e-17,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,EI_JP,-0.12814545635538124,0.03691442248042823,-3.4714197797168054,0.0006003830673533974,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,SN_TF,0.01601818204442268,0.03691442248042823,0.43392747246460134,0.6646788812943508,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,SN_JP,0.06941212219249822,0.03691442248042823,1.8803523806799374,0.06110926918437421,0.6860103872696659,288
ZKPQ-50-CC::Aggression-Hostility,TF_JP,-0.07475151620730573,0.03691442248042823,-2.02499487150147,0.04382693915422507,0.6860103872696659,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,Intercept,0.4641975203280111,0.04673082587020281,9.933432839756412,4.351103212634879e-20,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,EI,0.3849652905132116,0.04673082587020281,8.237930388443633,7.022350919990772e-15,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,SN,0.04736709391102145,0.04673082587020281,1.0136155958935096,0.3116507581335866,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,TF,0.07664857014692594,0.04673082587020281,1.640214327900413,0.10209566059649443,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,JP,-0.8121303556016971,0.04673082587020281,-17.378900125956033,2.9509863602660788e-46,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,EI_SN,0.14726860106881207,0.04673082587020281,3.151423034505273,0.0018029830996755935,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,EI_TF,0.0008612198892912525,0.04673082587020281,0.018429374470790086,0.9853095864365089,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,EI_JP,-0.18516227619762982,0.04673082587020281,-3.9623155112200936,9.448972286788245e-05,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,SN_TF,0.10420760660424747,0.04673082587020281,2.2299543109657267,0.026551922316669432,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,SN_JP,0.18688471597621206,0.04673082587020281,3.999174260161668,8.160198807601975e-05,0.6027321858704732,288
ZKPQ-50-CC::Impulsive_Sensation_Seeking,TF_JP,-0.011195858560786816,0.04673082587020281,-0.2395818681202825,0.8108316063195196,0.6027321858704732,288
ZKPQ-50-CC::Neuroticism-Anxiety,Intercept,0.10907420504337163,0.07156472328838973,1.5241336797157328,0.12861617524011462,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,EI,-0.3440032620598642,0.07156472328838973,-4.8068831437188475,2.517474874826115e-06,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,SN,0.2049636160705109,0.07156472328838973,2.8640314201251593,0.00450282665128829,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,TF,0.7539304942008865,0.07156472328838973,10.534945983969173,4.795644401088765e-22,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,JP,-0.053937793702766086,0.07156472328838973,-0.753692478980306,0.4516740596190179,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,EI_SN,-0.027568205670302073,0.07156472328838973,-0.38522060036770367,0.7003696168198125,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,EI_TF,-0.25051108630840224,0.07156472328838973,-3.5004828468196396,0.0005410599833055868,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,EI_JP,0.12106038142176388,0.07156472328838973,1.691620897266909,0.09184290475923124,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,SN_TF,0.13064932252447775,0.07156472328838973,1.8256106713078508,0.06898554830702086,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,SN_JP,-0.11626591087040705,0.07156472328838973,-1.6246260102464394,0.1053795480433187,0.3720693319326367,288
ZKPQ-50-CC::Neuroticism-Anxiety,TF_JP,-0.013184794016231655,0.07156472328838973,-0.18423593930629625,0.8539631693280139,0.3720693319326367,288
ZKPQ-50-CC::Sociability,Intercept,0.3182982440030509,0.023128731221798895,13.762027884307544,3.427629564396199e-33,0.872595450575992,288
ZKPQ-50-CC::Sociability,EI,0.9804865506224617,0.023128731221798895,42.3925783571885,4.10055165572111e-123,0.872595450575992,288
ZKPQ-50-CC::Sociability,SN,-0.04798465989995737,0.023128731221798895,-2.0746775704986224,0.03893973780675367,0.872595450575992,288
ZKPQ-50-CC::Sociability,TF,0.153550911679864,0.023128731221798895,6.638968225595611,1.6615126261460621e-10,0.872595450575992,288
ZKPQ-50-CC::Sociability,JP,-0.03358926192997007,0.023128731221798895,-1.4522742993490318,0.14755709929881988,0.872595450575992,288
ZKPQ-50-CC::Sociability,EI_SN,0.009596931979991188,0.023128731221798895,0.4149355140997122,0.6785102983943876,0.872595450575992,288
ZKPQ-50-CC::Sociability,EI_TF,0.02559181861331007,0.023128731221798895,1.1064947042659092,0.26947246157297994,0.872595450575992,288
ZKPQ-50-CC::Sociability,EI_JP,-0.11996164974989358,0.023128731221798895,-5.186693926246563,4.1390649267113296e-07,0.872595450575992,288
ZKPQ-50-CC::Sociability,SN_TF,-0.007997443316659303,0.023128731221798895,-0.3457795950830926,0.7297708247596177,0.872595450575992,288
ZKPQ-50-CC::Sociability,SN_JP,-0.0287907959399746,0.023128731221798895,-1.2448065422991812,0.21425499022186026,0.872595450575992,288
ZKPQ-50-CC::Sociability,TF_JP,0.10236727445324266,0.023128731221798895,4.42597881706374,1.382087815900685e-05,0.872595450575992,288
